orderNumber,lineNumber,status,quantity,refernceType,refernceNumber,fulfillmentDate
100000002,1,DISPATCHED,5,CARRIER,PF-100000002,2020-07-08T020:51:00.00Z
100000003,2,ASN_RECEIVED,10,ASN,ASN-100000003,2020-07-03T011:51:00.00Z
100000003,3,ASN_RECEIVED,15,ASN,ASN2-100000003,2020-07-09T011:51:00.00Z
100000005,1,DISPATCHED,3,CARRIER,OF-100000005,2020-07-08T020:51:00.00Z
100000005,2,DISPATCHED,10,CARRIER,OF-100000005,2020-07-08T020:51:00.00Z
100000006,1,ASN_RECEIVED,5,ASN,ASN-100000006,2020-07-03T017:51:00.00Z
100000006,2,ASN_RECEIVED,0,ASN,ASN-100000006,2020-07-03T017:51:00.00Z
100000009,1,DISPATCHED,0,,,2020-07-08T020:51:00.00Z
100000009,2,DISPATCHED,0,,,2020-07-08T020:51:00.00Z
100000009,3,SO_CHANGED,0,,,2020-07-08T020:51:00.00Z
